,Author (English),Author (Japanese),Gender,Title,Text Length (in characters),Overall Sentiment,Overall Sentiment Normalized,Direct Speech Sentiment,Direct Speech Sentiment Normalized,Author's Speech Sentiment,Author's Speech Sentiment Normalized
107,Ota Yoko,田 洋子,F,私と「原爆症」とについて,5856,-0.1644278606965174,-0.02049821900899253,-0.4716981132075472,-0.08564540556633997,-0.1186046511627907,-0.015719531740605273
108,Saiki Hisao,斎木寿夫,M,死者は裁かない,17419,-0.13650290544109878,-0.009176736475418844,-0.12275862068965518,-0.01701701399900933,-0.13638778220451528,-0.010364845337663539
109,Sata Ineko,佐多 稲子,F,今日になっての話,11334,-0.033634538152610444,-0.0028594232764887068,-0.07172995780590717,-0.009547506746882236,0.005636070853462158,0.0006045398208538727
110,Sata Ineko,佐多 稲子,F,樹影,142484,-0.019063285944436587,-0.0004557581108426371,-0.01993534482758621,-0.0012204677780732732,-0.019798081175790155,-0.0005054629195021364
111,Sata Ineko,佐多 稲子,F,歴訪,13246,0.018509212730318258,0.0016320438317361152,0.0034013605442176874,0.0004853586675045858,0.019973544973544973,0.002123043933629692
112,Sata Ineko,佐多 稲子,F,色のない画,8979,-0.03333333333333333,-0.003360514063549748,-0.07407407407407407,-0.0302406141084343,-0.01818181818181818,-0.00185192682945012
113,Takeda Taijun,武田 泰淳,M,第一のボタン,76725,0.0035012563583992156,0.00010082726649428796,0.044183842691305375,0.0018940590994066858,-0.023383121364487825,-0.0008289424029212696
114,Takenishi Hiroko,竹西 寛子,F,儀式,19842,-0.03931905546403075,-0.0028321232022527993,0.0,,-0.03931905546403075,-0.0028321232022527993
115,Takenishi Hiroko,竹西 寛子,F,管絃祭,133414,-0.005571689292619525,-0.0001606545654801394,0.014492753623188406,0.0020473113449913523,-0.005658377743183397,-0.00016602992164392103
116,Tsukuda Jitsuo,佃 実夫,M,赤と黒の喪章,66747,-0.053276292461948045,-0.0016736072309134487,-0.017073295483606976,-0.0009905054038189059,-0.07133107356987954,-0.0026536863110625235
